# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  1.5894753114783086e+01  3.6001417293958035e+01  3.1999816684970359e+01  3.1999814494813634e+01  5.0452964643413134e+00  1.7083475348949577e+01  2.8002161334586667e+01  3.2000173896192315e+01  3.2000173282815453e+01  5.1622871117199249e+00
4.0000000000000002e-01  1.5894522908786669e+01  3.6001487154506577e+01  3.1999803486424618e+01  3.1999801753371703e+01  5.0456169565182645e+00  1.7091154063535313e+01  2.8002306491053702e+01  3.2000185843535554e+01  3.2000185279863757e+01  5.1620095087685769e+00
8.0000000000000004e-01  1.5888444551315661e+01  3.6001678760450197e+01  3.1999768388905206e+01  3.1999767847997919e+01  5.0464831555960110e+00  1.7105050689491073e+01  2.8002691881853714e+01  3.2000217309667775e+01  3.2000216832209176e+01  5.1613519068815572e+00
1.2000000000000000e+00  1.5879795561989180e+01  3.6001925650859093e+01  3.1999716891903660e+01  3.1999718025797510e+01  5.0475632001675628e+00  1.7121118086904445e+01  2.8003198381231211e+01  3.2000263186369267e+01  3.2000262834614475e+01  5.1606637413857781e+00
1.6000000000000001e+00  1.5872374687226305e+01  3.6002150580264654e+01  3.1999654055148987e+01  3.1999657087103149e+01  5.0484912307220373e+00  1.7135874505583317e+01  2.8003702680282078e+01  3.2000319347787439e+01  3.2000319214430647e+01  5.1602007424916732e+00
2.0000000000000000e+00  1.5868373308894002e+01  3.6002297133786520e+01  3.1999582231753923e+01  3.1999587191235548e+01  5.0491209599965314e+00  1.7147723958378759e+01  2.8004125159455914e+01  3.2000384206229867e+01  3.2000384449839636e+01  5.1599854261062763e+00
2.3999999999999901e+00  1.5867730303251218e+01  3.6002337714039015e+01  3.1999501273225562e+01  3.1999508071006481e+01  5.0496100295469546e+00  1.7156769388961152e+01  2.8004440661032795e+01  3.2000458735537137e+01  3.2000459550640329e+01  5.1598352821872853e+00
2.7999999999999798e+00  1.5869295344052830e+01  3.6002263165415016e+01  3.1999411906611698e+01  3.1999420375382588e+01  5.0502878989190361e+00  1.7163679639121955e+01  2.8004656768206821e+01  3.2000543664414025e+01  3.2000545229891529e+01  5.1595071413088238e+00
3.1999999999999802e+00  1.5872410720840699e+01  3.6002075017932121e+01  3.1999318063585257e+01  3.1999328002149927e+01  5.0514356101081219e+00  1.7168721075422557e+01  2.8004785919405919e+01  3.2000636127393427e+01  3.2000638558598503e+01  5.1588396891498691e+00
3.5999999999999699e+00  1.5877455126273235e+01  3.6001794159211720e+01  3.1999224842781860e+01  3.1999236088200298e+01  5.0531399595874777e+00  1.7171821775136557e+01  2.8004846708951128e+01  3.2000730779264018e+01  3.2000734107687762e+01  5.1578050695815785e+00
3.9999999999999600e+00  1.5884961040370388e+01  3.6001479829359987e+01  3.1999132875539637e+01  3.1999145351156741e+01  5.0552975567175196e+00  1.7173482419038052e+01  2.8004899223866115e+01  3.2000825725102835e+01  3.2000829924812308e+01  5.1564785732735112e+00
4.3999999999999497e+00  1.5894166494112071e+01  3.6001238804277584e+01  3.1999033890683169e+01  3.1999047560371682e+01  5.0577241711066163e+00  1.7175555325804076e+01  2.8005078544122387e+01  3.2000927615250667e+01  3.2000932669567248e+01  5.1550043844548901e+00
4.7999999999999403e+00  1.5902496959823303e+01  3.6001206844826783e+01  3.1998912669204685e+01  3.1998927400730224e+01  5.0602423791552091e+00  1.7181038123414496e+01  2.8005585947229942e+01  3.2001050622820578e+01  3.2001056597693591e+01  5.1536042771534945e+00
5.1999999999999300e+00  1.5906694597755845e+01  3.6001504083755812e+01  3.1998755496164474e+01  3.1998770914315287e+01  5.0626722097145764e+00  1.7192841868178157e+01  2.8006627180898853e+01  3.2001209055590408e+01  3.2001216145332585e+01  5.1526057988879863e+00
5.5999999999999304e+00  1.5904760355323422e+01  3.6002185761822517e+01  3.1998559657227407e+01  3.1998575079120119e+01  5.0647896582544112e+00  1.7212339066571190e+01  2.8008328348411951e+01  3.2001408487221738e+01  3.2001417014622028e+01  5.1524234857852242e+00
5.9999999999999201e+00  1.5897289107245744e+01  3.6003212382558260e+01  3.1998337618682811e+01  3.1998352115104655e+01  5.0663542660659697e+00  1.7238705631679121e+01  2.8010683272719621e+01  3.2001641988893269e+01  3.2001652359792033e+01  5.1534541668068927e+00
6.3999999999999098e+00  1.5887235137801277e+01  3.6004453761611316e+01  3.1998113216049543e+01  3.1998125768234601e+01  5.0672497988026839e+00  1.7269380575069256e+01  2.8013567297517078e+01  3.2001894129365695e+01  3.2001906768139371e+01  5.1559412512993168e+00
