time  net_outward_flux  psi4_boundary_amp
0.0000000000000000e+00  0.0000000000000000e+00  1.2027219687383548e-05
8.0000000000000004e-01  -6.3650061639067416e-17  4.5678168139669004e-08
1.6000000000000001e+00  -4.2503636446010277e-17  1.8707888693791097e-08
2.3999999999999901e+00  3.4240356287188580e-17  2.4162340536992353e-08
3.1999999999999802e+00  7.0628307682896277e-17  2.5204279550348614e-08
3.9999999999999600e+00  2.3973443091771756e-17  2.4885784694159520e-08
4.7999999999999403e+00  -4.6730481143381606e-17  2.3961107162218085e-08
5.5999999999999304e+00  -5.2104738167865798e-17  2.2444393426965756e-08
6.3999999999999098e+00  1.6494434009080226e-17  2.0510721907210040e-08
7.1999999999998900e+00  7.3403261523058568e-17  1.8940428629566837e-08
7.9999999999998703e+00  4.5766022846255226e-17  1.7841885293788317e-08
8.7999999999998604e+00  -3.2384293723544698e-17  1.7262349548819445e-08
9.5999999999998398e+00  -6.1292689140499204e-17  1.6970527207398712e-08
1.0399999999999800e+01  -2.8702449849389886e-18  1.6957723679358295e-08
1.1199999999999800e+01  6.9508912249669529e-17  1.6806587098453373e-08
1.1999999999999799e+01  5.7932557195320367e-17  1.9142177717765565e-08
1.2799999999999800e+01  -8.9636860399853627e-18  2.2051143304496601e-08
1.3599999999999801e+01  -4.7117983685287640e-17  2.8348946919512035e-08
1.4399999999999700e+01  9.1741412100138442e-17  3.8013557419276299e-08
1.5199999999999701e+01  5.9009733408706306e-16  4.1788173539103763e-08
1.5999999999999700e+01  3.0800536614020048e-15  5.0521671053269133e-08
1.6799999999999802e+01  1.3455979993652104e-14  5.4490435664830909e-08
1.7600000000000001e+01  8.4323957383401951e-14  5.0657453798105390e-08
1.8400000000000102e+01  1.6553069800923918e-13  6.1008713986177132e-08
1.9200000000000198e+01  7.6729629601231702e-13  8.2537133491988208e-08
2.0000000000000298e+01  2.7816714328638443e-12  7.2208639858213685e-08
2.0800000000000502e+01  4.0120018030687776e-12  7.9535659867016981e-08
2.1600000000000598e+01  1.8911282716617192e-11  9.7260933821707848e-08
2.2400000000000698e+01  2.5328482743109608e-11  8.1802982000212402e-08
2.3200000000000799e+01  7.4973682115259909e-11  9.4039137688505272e-08
2.4000000000000998e+01  1.0053181656431340e-10  1.0950171116590614e-07
2.4800000000001098e+01  2.2943869676365951e-10  1.0817700221025188e-07
2.5600000000001199e+01  2.4024884144638158e-10  1.0813846459889982e-07
2.6400000000001299e+01  4.8141469299276893e-10  1.2053211450840148e-07
2.7200000000001499e+01  3.8997102232984626e-10  1.2294456796055734e-07
2.8000000000001599e+01  6.6933061157116902e-10  1.3767562537990323e-07
2.8800000000001699e+01  5.2310378882504299e-10  1.2980124480080845e-07
2.9600000000001799e+01  7.6884311238355878e-10  1.3084610532542462e-07
3.0400000000001999e+01  8.3488057791595920e-10  1.3318974258754573e-07
3.1200000000002099e+01  1.0802073811604073e-09  1.2360346747528938e-07
3.2000000000002203e+01  1.1592599398840269e-09  1.3597456154089506e-07
3.2800000000002001e+01  1.3874330664412534e-09  1.1724904586995982e-07
3.3600000000001899e+01  1.1008804651019293e-09  1.3679936660727022e-07
3.4400000000001697e+01  1.1710300325651619e-09  1.3371597004650725e-07
3.5200000000001602e+01  9.3478380486260514e-10  1.3250245797215728e-07
3.6000000000001400e+01  8.7782337966515433e-10  1.2072074149085813e-07
3.6800000000001198e+01  9.5761498783741452e-10  1.3471259054305669e-07
3.7600000000001103e+01  9.1690927154344607e-10  1.2749798237242488e-07
3.8400000000000901e+01  1.0137736766838000e-09  1.5572959125115456e-07
3.9200000000000799e+01  9.8938501690866990e-10  1.5591478433435603e-07
4.0000000000000597e+01  8.7639172617645002e-10  1.5296757685727317e-07
4.0800000000000502e+01  9.0281095909060905e-10  1.9617464838578496e-07
4.1600000000000300e+01  7.7245946496437171e-10  1.7324259594846882e-07
4.2400000000000098e+01  7.4125710350623549e-10  2.1138996828894730e-07
4.3200000000000003e+01  6.9081971706798521e-10  2.1643120172836977e-07
4.3999999999999801e+01  6.4627444914609882e-10  2.1323601797983292e-07
4.4799999999999699e+01  4.6612004274709175e-10  2.5198753646394004e-07
4.5599999999999497e+01  4.2925043789971334e-10  2.3724890036428215e-07
