# time  Re(R=8)  Im(R=8)  Re(R=16)  Im(R=16)
0.0000000000000000e+00  4.1529270276426382e-04  -9.7098588274315895e-05  2.5910003025872526e-03  -2.9872281848578522e-08
2.0000000000000001e-01  -5.1041941865872598e-04  -7.2585314826425275e-06  2.3047597105708409e-04  2.2491113788264051e-07
4.0000000000000002e-01  -9.4027814617364297e-04  -4.4199171702891198e-05  -2.0931283626264869e-05  -1.8121980422205271e-07
5.9999999999999998e-01  -9.9191333247479170e-04  -6.6064786876070172e-05  8.5200599393234547e-05  -2.8414800843427198e-07
8.0000000000000104e-01  -8.8602962992925111e-04  -8.6624871985377584e-06  6.5389810846711640e-05  -1.5977835317018303e-07
1.0000000000000000e+00  -7.3169743873798942e-04  6.1484680897038320e-05  7.2447440326319602e-05  -1.2234343062089852e-07
1.2000000000000000e+00  -6.3471800733456778e-04  8.1296980868962972e-05  9.0938616018524808e-05  -1.0399929016252968e-07
1.3999999999999899e+00  -6.0334142720525627e-04  5.2310017758783727e-05  1.0308316425135622e-04  -4.1377319535136854e-08
1.5999999999999901e+00  -5.7148019233203341e-04  8.3576399881418357e-06  9.4450325862313687e-05  1.3603247554959618e-07
1.7999999999999801e+00  -5.1890865048629883e-04  -2.0557290892235131e-05  7.4790299833101348e-05  3.9528298903219378e-07
1.9999999999999800e+00  -4.6203518879171297e-04  -3.0523180011448909e-05  5.5511498620150720e-05  6.0970061509213291e-07
2.1999999999999802e+00  -4.0235930358991918e-04  -3.6736709899891830e-05  3.8549366813729151e-05  7.6130284148085706e-07
2.3999999999999702e+00  -3.4110631652370035e-04  -4.4178600514529362e-05  1.8070187035983491e-05  6.7336080916687249e-07
2.5999999999999699e+00  -2.8548335378343127e-04  -4.4922920069518045e-05  -8.5308263758578099e-06  3.3536350892240159e-07
2.7999999999999599e+00  -2.2430639394024863e-04  -3.3058509751597433e-05  -3.5405474489052016e-05  7.4346363276506325e-08
2.9999999999999600e+00  -1.4351143656522169e-04  -1.1414360252818370e-05  -5.5776320651553699e-05  -1.6946160749857459e-08
3.1999999999999500e+00  -4.6577591418721279e-05  1.0162629219677130e-05  -6.6630193722744502e-05  2.5831399688540246e-07
3.3999999999999502e+00  5.7341548555392041e-05  2.1258590703669076e-05  -6.8168471410700977e-05  7.8588807813228529e-07
3.5999999999999499e+00  1.5585182595000867e-04  1.7794644665784479e-05  -6.3266479732504075e-05  6.5507458027799642e-07
3.7999999999999399e+00  2.2327319683783402e-04  3.3888689073900153e-06  -6.0379501934364676e-05  1.2072473443724201e-07
3.9999999999999400e+00  2.3422508534296356e-04  -1.4402984430073209e-05  -7.4536666169314488e-05  6.7649584218008954e-07
4.1999999999999300e+00  1.8715441427071108e-04  -2.8186830726333715e-05  -1.1956645892748618e-04  1.8165770605084640e-06
4.3999999999999302e+00  9.8877286721415309e-05  -3.3459047763920605e-05  -1.9521856158482800e-04  1.0023680082616594e-06
