# time  core_x_canon  core_y_canon  core_z_canon  peak_canon  core_x_phantom  core_y_phantom  core_z_phantom  peak_phantom  coord_sep  proper_sep  px_canon  px_phantom  px_total  shift_x_canon  shift_x_phantom  max_abs_shift
0.0000000000000000e+00  3.7000205274114478e+01  3.2000000000000000e+01  3.2000000000000000e+01  2.4516522854767499e-02  2.7000207763710385e+01  3.2000000000000000e+01  3.2000000000000007e+01  2.4424300970827630e-02  9.9999975104040928e+00  1.0000129260343082e+01  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00  0.0000000000000000e+00
8.0000000000000004e-01  3.7000307851870268e+01  3.2000000000000234e+01  3.1999999999999993e+01  2.4584742344399488e-02  2.7000314483892691e+01  3.2000000000000213e+01  3.2000000000000000e+01  2.4494707317832726e-02  9.9999933679775772e+00  1.0000137941933550e+01  1.6273525040050730e-06  1.6496466181471675e-06  -2.2294114142094453e-08  -4.9188463715251852e-07  4.9819607103965341e-07  1.1681362412397862e-05
1.6000000000000001e+00  3.7000573445924893e+01  3.2000000000003340e+01  3.2000000000000000e+01  2.4525043196203678e-02  2.7000587587175097e+01  3.2000000000000689e+01  3.2000000000000000e+01  2.4412043210150763e-02  9.9999858587497954e+00  1.0000156903908945e+01  3.2756499233831070e-06  3.2997385847618970e-06  -2.4088661378789917e-08  -2.9096237177487369e-06  3.2552806010236630e-06  1.8548026254500252e-05
2.3999999999999901e+00  3.7000915352152120e+01  3.2000000000000462e+01  3.2000000000000000e+01  2.4456210896383949e-02  2.7000939371623389e+01  3.2000000000008860e+01  3.2000000000000000e+01  2.4304205297264785e-02  9.9999759805287312e+00  1.0000172133400115e+01  4.9572498708302638e-06  4.9722120882228190e-06  -1.4962217392555214e-08  -9.6791388898365028e-06  1.3016302883625387e-05  3.1950276961983523e-05
3.1999999999999802e+00  3.7001326245836758e+01  3.1999999999943746e+01  3.2000000000000000e+01  2.4555129782425442e-02  2.7001362720180886e+01  3.2000000000038149e+01  3.2000000000000000e+01  2.4375858988068346e-02  9.9999635256558719e+00  1.0000180887289771e+01  6.6557725866646771e-06  6.6752065391757773e-06  -1.9433952511100208e-08  6.5257018961053660e-06  -9.8327945397875228e-06  3.1669341886868193e-05
3.9999999999999600e+00  3.7001848739369748e+01  3.1999999999848772e+01  3.1999999999999993e+01  2.4579331173828309e-02  2.7001898894880320e+01  3.2000000000069001e+01  3.2000000000000000e+01  2.4416502945180048e-02  9.9999498444894286e+00  1.0000181556579244e+01  8.3516871371298140e-06  8.3933432145673952e-06  -4.1656077437581218e-08  -2.5472214784078848e-05  2.1248328249123477e-05  5.1521425372631728e-05
4.7999999999999403e+00  3.7002440990526438e+01  3.1999999999674451e+01  3.1999999999999993e+01  2.4516357821854722e-02  2.7002501422278016e+01  3.2000000000154174e+01  3.2000000000000000e+01  2.4414284844745386e-02  9.9999395682484220e+00  1.0000180402556003e+01  1.0042066714712252e-05  1.0105802996585548e-05  -6.3736281873295756e-08  -9.1015961772697353e-06  5.4706443632509588e-06  1.9851843475797786e-05
5.5999999999999304e+00  3.7003019441084518e+01  3.1999999999210448e+01  3.1999999999999993e+01  2.4478066323307512e-02  2.7003088594334805e+01  3.2000000000379941e+01  3.2000000000000000e+01  2.4430123069165824e-02  9.9999308467497130e+00  1.0000184197777902e+01  1.1733187080766781e-05  1.1807170928853154e-05  -7.3983848086373128e-08  -1.3563178536842691e-05  9.5529624176606359e-06  2.1860559888310245e-05
6.3999999999999098e+00  3.7003605905757226e+01  3.1999999998527358e+01  3.2000000000000000e+01  2.4496870566794119e-02  2.7003689831898143e+01  3.2000000000623395e+01  3.2000000000000000e+01  2.4433640498927680e-02  9.9999160738590831e+00  1.0000194333745567e+01  1.3437612816803140e-05  1.3518926394720536e-05  -8.1313577917395958e-08  -1.3596105332882836e-05  1.1285120583057321e-05  2.3027846011008968e-05
7.1999999999998900e+00  3.7004307225891615e+01  3.1999999997751686e+01  3.1999999999999993e+01  2.4531195314415308e-02  2.7004414554346006e+01  3.2000000000865263e+01  3.2000000000000007e+01  2.4410435312400516e-02  9.9998926715456093e+00  1.0000207830512622e+01  1.5147671324880440e-05  1.5249597000805144e-05  -1.0192567592470406e-07  -1.4182265747355022e-05  1.5734698601752143e-05  2.0814099941754472e-05
7.9999999999998703e+00  3.7005176096865291e+01  3.1999999996776921e+01  3.2000000000000007e+01  2.4542488042844483e-02  2.7005307244725213e+01  3.2000000001208136e+01  3.2000000000000000e+01  2.4393486671147050e-02  9.9998688521400787e+00  1.0000221375432314e+01  1.6845197284398262e-05  1.6982165155295172e-05  -1.3696787089690989e-07  -1.8093003148936886e-05  1.7613956111694363e-05  2.6375069031416380e-05
