# time  total_canon  bary_x_canon  bary_y_canon  bary_z_canon  rms_radius_canon  total_phantom  bary_x_phantom  bary_y_phantom  bary_z_phantom  rms_radius_phantom
0.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.1891457738384204e+01  3.2000421129311952e+01  3.2000319224693179e+01  3.2000319224693179e+01  6.7431423675176347e+00
4.0000000000000002e-01  0.0000000000000000e+00  nan  nan  nan  nan  4.4474892357297179e+01  3.2000445814546460e+01  3.2000319607305798e+01  3.2000319607304242e+01  6.5670120125425724e+00
8.0000000000000004e-01  0.0000000000000000e+00  nan  nan  nan  nan  4.3620770184456077e+01  3.2000585219375118e+01  3.2000406071534158e+01  3.2000406071523230e+01  6.6311283745496610e+00
1.2000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.3712151474522976e+01  3.2000732675361490e+01  3.2000410368560694e+01  3.2000410368583282e+01  6.6412486519362508e+00
1.6000000000000001e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.4244857706254180e+01  3.2000849107177359e+01  3.2000420689974320e+01  3.2000420690031000e+01  6.6416882038375729e+00
2.0000000000000000e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.4768088025480466e+01  3.2000936200716438e+01  3.2000420063988905e+01  3.2000420064101526e+01  6.6569864807147150e+00
2.3999999999999901e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5292362827479209e+01  3.2001021937909755e+01  3.2000425636898868e+01  3.2000425637088469e+01  6.6810519637894830e+00
2.7999999999999798e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5412014604051357e+01  3.2001132372276928e+01  3.2000433863044314e+01  3.2000433863321376e+01  6.7369548153283452e+00
3.1999999999999802e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5222026656839489e+01  3.2001238368138118e+01  3.2000435640605502e+01  3.2000435640982730e+01  6.8186862270030950e+00
3.5999999999999699e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5004560494936626e+01  3.2001317411108680e+01  3.2000419002035045e+01  3.2000419002559319e+01  6.9149112940867372e+00
3.9999999999999600e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5000259231173054e+01  3.2001367562502743e+01  3.2000360536912950e+01  3.2000360537641065e+01  7.0176073280910414e+00
4.3999999999999497e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.5445224708259715e+01  3.2001384756899625e+01  3.2000268435278485e+01  3.2000268436188144e+01  7.1175695648102719e+00
4.7999999999999403e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.6382160178354290e+01  3.2001397755819134e+01  3.2000224435242117e+01  3.2000224436267438e+01  7.2162594310817374e+00
5.1999999999999300e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.7703497615602259e+01  3.2001430898819137e+01  3.2000265402697380e+01  3.2000265403798537e+01  7.3220087949621258e+00
5.5999999999999304e+00  0.0000000000000000e+00  nan  nan  nan  nan  4.9522241657816608e+01  3.2001438606120686e+01  3.2000378458462933e+01  3.2000378459530069e+01  7.4292819028745321e+00
5.9999999999999201e+00  0.0000000000000000e+00  nan  nan  nan  nan  5.1982710109036113e+01  3.2001389623321437e+01  3.2000600455627776e+01  3.2000600456510881e+01  7.5310045570318263e+00
6.3999999999999098e+00  0.0000000000000000e+00  nan  nan  nan  nan  5.5036934726952950e+01  3.2001279970749337e+01  3.2000962417336801e+01  3.2000962417901569e+01  7.6300376488000570e+00
6.7999999999999003e+00  0.0000000000000000e+00  nan  nan  nan  nan  5.8453939376702202e+01  3.2001112890884478e+01  3.2001446829530380e+01  3.2001446829652878e+01  7.7380423524560173e+00
7.1999999999998900e+00  0.0000000000000000e+00  nan  nan  nan  nan  6.2103769397003177e+01  3.2000893188533574e+01  3.2002026648448734e+01  3.2002026648052464e+01  7.8579413433711007e+00
7.5999999999998797e+00  0.0000000000000000e+00  nan  nan  nan  nan  6.5787961386472091e+01  3.2000631964028081e+01  3.2002673662581095e+01  3.2002673661704875e+01  7.9969134390211085e+00
7.9999999999998703e+00  0.0000000000000000e+00  nan  nan  nan  nan  6.9430588630256594e+01  3.2000339172681663e+01  3.2003356094095459e+01  3.2003356092944784e+01  8.1546007870568324e+00
8.3999999999998707e+00  0.0000000000000000e+00  nan  nan  nan  nan  7.3093509247255952e+01  3.1999999263483854e+01  3.2004034038631218e+01  3.2004034037440910e+01  8.3251649214036991e+00
8.7999999999998604e+00  0.0000000000000000e+00  nan  nan  nan  nan  7.6781395462440187e+01  3.1999700134610478e+01  3.2004738441176350e+01  3.2004738440208563e+01  8.5065203220014407e+00
9.1999999999998501e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.0476724704937794e+01  3.1999443692464741e+01  3.2005447477637595e+01  3.2005447477157830e+01  8.6964243234756573e+00
9.5999999999998398e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.4323483166626417e+01  3.1999262050434343e+01  3.2006093177157844e+01  3.2006093177388543e+01  8.8846981691189395e+00
9.9999999999998295e+00  0.0000000000000000e+00  nan  nan  nan  nan  8.8393660167965763e+01  3.1999250995951837e+01  3.2006665041108860e+01  3.2006665042188033e+01  9.0641654280302806e+00
1.0399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  9.2568254150020621e+01  3.1999487237107239e+01  3.2007260039494788e+01  3.2007260041380697e+01  9.2347098965015313e+00
1.0799999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  9.6604999386753619e+01  3.2000006000508407e+01  3.2007969616756611e+01  3.2007969619412059e+01  9.3991302146628666e+00
1.1199999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  9.9966139857724940e+01  3.2000803659675590e+01  3.2008776879086426e+01  3.2008776882550009e+01  9.5721138325057638e+00
1.1599999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0247234758157943e+02  3.2001842263926001e+01  3.2009597504068147e+01  3.2009597508345536e+01  9.7532354335225335e+00
1.1999999999999799e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0404481330383378e+02  3.2003119802883710e+01  3.2010316352116163e+01  3.2010316357244960e+01  9.9413227562981685e+00
1.2399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0475397163567766e+02  3.2004533526325162e+01  3.2010747591248020e+01  3.2010747597192989e+01  1.0133418092343216e+01
1.2799999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0492753247849434e+02  3.2005913100766676e+01  3.2010759342792880e+01  3.2010759349332346e+01  1.0321232689834094e+01
1.3199999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0491249587392852e+02  3.2007048421912572e+01  3.2010377966918256e+01  3.2010377973689401e+01  1.0499803964008763e+01
1.3599999999999801e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0488779872276454e+02  3.2007759171975223e+01  3.2009783856896178e+01  3.2009783863610018e+01  1.0673461732715941e+01
1.3999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0485371291884996e+02  3.2008069781478483e+01  3.2009232555596938e+01  3.2009232562137790e+01  1.0852427188053978e+01
1.4399999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0472720734211066e+02  3.2008207748546965e+01  3.2008772410478770e+01  3.2008772416839747e+01  1.1045970808258179e+01
1.4799999999999701e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0444469983924446e+02  3.2008193230065793e+01  3.2008340702281842e+01  3.2008340708503496e+01  1.1259114316567395e+01
1.5199999999999701e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0414278842027139e+02  3.2007602001007406e+01  3.2007865240299132e+01  3.2007865246433596e+01  1.1490433003203792e+01
1.5599999999999699e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0415966807673392e+02  3.2006342372043186e+01  3.2007358577513578e+01  3.2007358583556446e+01  1.1731775970337312e+01
1.5999999999999700e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0472917891198712e+02  3.2005154317238770e+01  3.2006969467334919e+01  3.2006969473252425e+01  1.1973697924022883e+01
1.6399999999999800e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0571057053987336e+02  3.2004619905540352e+01  3.2006761937280785e+01  3.2006761943186930e+01  1.2213127509292104e+01
1.6799999999999802e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0687779562279920e+02  3.2004186574418668e+01  3.2006701745740337e+01  3.2006701751895349e+01  1.2451968112454795e+01
1.7199999999999900e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0810045841480546e+02  3.2003685573704104e+01  3.2006745354961687e+01  3.2006745361608679e+01  1.2694314731335830e+01
1.7600000000000001e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.0923797544590998e+02  3.2003558811644531e+01  3.2006772279490285e+01  3.2006772286656066e+01  1.2944674389451157e+01
1.8000000000000000e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1029207409608341e+02  3.2003498209869889e+01  3.2006620442299138e+01  3.2006620449764021e+01  1.3201732939612850e+01
1.8400000000000102e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1146700288886151e+02  3.2003476173310169e+01  3.2006296825442497e+01  3.2006296832847433e+01  1.3458071376220365e+01
1.8800000000000100e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1289778993839070e+02  3.2003375008507469e+01  3.2005974021785640e+01  3.2005974028955833e+01  1.3708536789762301e+01
1.9200000000000198e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1449766166770726e+02  3.2003605904074959e+01  3.2005811236327077e+01  3.2005811243467804e+01  1.3957329863584658e+01
1.9600000000000300e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1570515052014488e+02  3.2003935868743824e+01  3.2005687056369680e+01  3.2005687063519652e+01  1.4229205926718327e+01
2.0000000000000298e+01  0.0000000000000000e+00  nan  nan  nan  nan  1.1685962570930161e+02  3.2003107804675601e+01  3.2005656146407773e+01  3.2005656153600384e+01  1.4507974618600340e+01
