# time  total_activity  peak_activity  rms_radius  confined_frac  bary_x  bary_y  bary_z  r_conf  total_activity_proper  rms_radius_proper  confined_frac_proper  rms_radius_canon  confined_frac_canon  rms_radius_phantom  confined_frac_phantom  canon_mass_frac  min_chi
0.0000000000000000e+00  3.6915196871599662e+01  4.0785617391827927e-02  6.5893578015419525e+00  3.0272163035070127e-01  3.1445228453271866e+01  3.2000017047295152e+01  3.2000016985091548e+01  4.7999999999999998e+00  3.6694955194858792e+01  6.5932414059357676e+00  3.0184431161370118e-01  5.0453441459613870e+00  5.6450626805318149e-01  5.4267136622343841e+00  4.6030160502045853e-01  4.3040495293745235e-01  9.8430171842202940e-01
2.0000000000000001e-01  3.6917260204823869e+01  4.0788466771749757e-02  6.5893412063188022e+00  3.0272584140354714e-01  3.1445016912229985e+01  3.2000017438952540e+01  3.2000017379115953e+01  4.7999999999999998e+00  3.6696894573664792e+01  6.5932312116483578e+00  3.0182998044992876e-01  5.0454402894198633e+00  5.6450092083432124e-01  5.4266428009883629e+00  4.6034185088665930e-01  4.3037434671838870e-01  9.8429119866364689e-01
4.0000000000000002e-01  3.6919659751335438e+01  4.0791582109393765e-02  6.5892955766627699e+00  3.0273765311018785e-01  3.1444399929005076e+01  3.2000018535579024e+01  3.2000018480403021e+01  4.7999999999999998e+00  3.6698976322000611e+01  6.5932019076212240e+00  3.0183943660401064e-01  5.0457222006868561e+00  5.6444127578520975e-01  5.4264401533940170e+00  4.6041802714951008e-01  4.3028498887167682e-01  9.8425935419279542e-01
5.9999999999999998e-01  3.6922267088994175e+01  4.0794796204084924e-02  6.5892304765663949e+00  3.0256817118207407e-01  3.1443445238563008e+01  3.2000020210211161e+01  3.2000020161366614e+01  4.7999999999999998e+00  3.6701103315773878e+01  6.5931605297173066e+00  3.0185346039261612e-01  5.0461593539387746e+00  5.6439009980370269e-01  5.4261375122559361e+00  4.6049327724850692e-01  4.3014645460704620e-01  9.8420617536236976e-01
8.0000000000000104e-01  3.6924947205033803e+01  4.0798351726413259e-02  6.5891574633867958e+00  3.0258795167789904e-01  3.1442252813779604e+01  3.2000022325703519e+01  3.2000022286352085e+01  4.7999999999999998e+00  3.6703162946417422e+01  6.5931170683642213e+00  3.0186954455505621e-01  5.0467041864225077e+00  5.6427016999698532e-01  5.4257789813189152e+00  4.6067211616432252e-01  4.2997289909252961e-01  9.8413476111940079e-01
1.0000000000000000e+00  3.6927588909948064e+01  4.0802806909182254e-02  6.5890879352014364e+00  3.0260725984237602e-01  3.1440938761376511e+01  3.2000024742562950e+01  3.2000024718101599e+01  4.7999999999999998e+00  3.6705064963815339e+01  6.5930815354615477e+00  3.0186557249078161e-01  5.0473000385126046e+00  5.6415328843763246e-01  5.4254126555837532e+00  4.6075484456754279e-01  4.2978080562405635e-01  9.8404458166472175e-01
1.2000000000000000e+00  3.6930127495239951e+01  4.0808659063304012e-02  6.5890311883078478e+00  3.0266359399311310e-01  3.1439617322106987e+01  3.2000027338467021e+01  3.2000027336414206e+01  4.7999999999999998e+00  3.6706764418603896e+01  6.5930619280777378e+00  3.0177881944291257e-01  5.0478907803676210e+00  5.6412529766986685e-01  5.4250820508461608e+00  4.6075421346185508e-01  4.2958646640808434e-01  9.8392586854125341e-01
1.3999999999999899e+00  3.6932553046208611e+01  4.0815908843162427e-02  6.5889931051027277e+00  3.0275639223142098e-01  3.1438384533519685e+01  3.2000030024283959e+01  3.2000030053572303e+01  4.7999999999999998e+00  3.6708268350599354e+01  6.5930630318029602e+00  3.0182404849313499e-01  5.0484303649455100e+00  5.6401919403219691e-01  5.4248187910249648e+00  4.6073987901412278e-01  4.2940369394199729e-01  9.8378612217850081e-01
1.5999999999999901e+00  3.6934906080172183e+01  4.0823922354899164e-02  6.5889756485714797e+00  3.0276275436127070e-01  3.1437306670190882e+01  3.2000032754299845e+01  3.2000032824341346e+01  4.7999999999999998e+00  3.6709629780669090e+01  6.5930860609819053e+00  3.0182761925471363e-01  5.0488904255421829e+00  5.6392768999135279e-01  5.4246378485127957e+00  4.6068168359131517e-01  4.2924219622777937e-01  9.8365941753892150e-01
1.7999999999999801e+00  3.6937265281740920e+01  4.0831708674054834e-02  6.5889771190389297e+00  3.0261420443922799e-01  3.1436415450002659e+01  3.2000035531222032e+01  3.2000035651011217e+01  4.7999999999999998e+00  3.6710934799398558e+01  6.5931290022890421e+00  3.0182658642350801e-01  5.0492643818349032e+00  5.6388402399548976e-01  5.4245360449063531e+00  4.6066171150906865e-01  4.2910689064536195e-01  9.8353188801099423e-01
