# time  Re_m-2(R=8)  Im_m-2(R=8)  Re_m-1(R=8)  Im_m-1(R=8)  Re_m0(R=8)  Im_m0(R=8)  Re_m1(R=8)  Im_m1(R=8)  Re_m2(R=8)  Im_m2(R=8)  Re_m-2(R=16)  Im_m-2(R=16)  Re_m-1(R=16)  Im_m-1(R=16)  Re_m0(R=16)  Im_m0(R=16)  Re_m1(R=16)  Im_m1(R=16)  Re_m2(R=16)  Im_m2(R=16)
0.0000000000000000e+00  1.2317618613992407e-04  1.4259796407773434e-04  1.3049730458763699e-04  1.6056264284030360e-05  -9.4485126875453612e-05  5.1349022575888736e-07  -1.6265019250579778e-04  -2.2329720269515081e-05  1.0033920404333679e-04  -1.4366584295537763e-04  9.6821340949897404e-06  -3.2409478355219842e-06  7.5179824639871071e-06  4.6867994068258354e-06  -1.3454148104725719e-05  -1.2643925854807226e-06  -2.5291911618329475e-06  -6.5822634686926689e-07  1.0122629784480761e-05  -1.6395594236190676e-06
4.0000000000000002e-01  1.1303861654203484e-04  1.3990432255210088e-04  1.2998237546933935e-04  2.9162247278847392e-06  -8.9620766563150114e-05  -1.1480837622376656e-06  -1.4639934329168977e-04  -3.1810566333864063e-06  1.0596935934605569e-04  -1.3523375421857679e-04  1.3095602264613753e-05  3.6779885174655360e-06  1.4829733169544912e-06  -6.5015650462131033e-07  -1.0371922224644489e-05  -2.5502769591395832e-07  -1.8300979999877240e-06  1.1711985291923639e-06  1.2394149040250756e-05  -3.8422442686809403e-06
8.0000000000000004e-01  1.0981796176735888e-04  1.3693847964213221e-04  1.3460059505076514e-04  2.4858744487666036e-06  -8.5938831752036674e-05  9.3597331030096655e-07  -1.3763519337685689e-04  2.0608272412261737e-08  1.0551699389205622e-04  -1.3419446596600691e-04  1.2482762066457759e-05  3.6422268554614472e-06  2.2418225732834392e-06  1.1500498767579269e-07  -1.0434352851152921e-05  -1.1274488270835048e-07  -1.9224435212868301e-06  2.1039987101625934e-07  1.2207916104559235e-05  -3.7432966597197443e-06
1.2000000000000000e+00  1.1021555506001191e-04  1.3349256739793959e-04  1.3262616796971594e-04  8.5115214335205076e-07  -8.6225635702554069e-05  -7.3720464375958814e-07  -1.3450215670128229e-04  2.4182490127352427e-07  1.1022422791493791e-04  -1.3282339757421738e-04  1.1863233012654913e-05  3.4168206648728544e-06  2.5240654111500638e-06  1.5043102636607128e-07  -9.8101105977342985e-06  -1.5605240111412647e-07  -2.6394984691803479e-06  2.5591331660607704e-07  1.1882514718258018e-05  -3.6318038386747560e-06
1.6000000000000001e+00  1.0649081217054942e-04  1.3141694967654154e-04  1.2890818705015629e-04  3.9206475251661054e-07  -8.3673123193100235e-05  -9.3514316077074315e-08  -1.3210485584982536e-04  9.1070949693372185e-07  1.0678905043509575e-04  -1.3065654322162685e-04  1.2148890527140449e-05  3.3480461328807127e-06  2.3825695434843504e-06  2.5147072201454688e-07  -9.7337134666976341e-06  -1.1063149359952174e-07  -2.6390816666639401e-06  1.3839115815959059e-07  1.1932997562842330e-05  -3.4008270283559549e-06
2.0000000000000000e+00  1.0898106099737630e-04  1.3197586892503527e-04  1.2901271401757905e-04  1.4818798789502886e-06  -8.6746048076331909e-05  3.7796484792777518e-07  -1.3317573327406205e-04  9.4102071954202724e-07  1.0811811730723533e-04  -1.3110058204350859e-04  1.2587197227492637e-05  3.0269480804458562e-06  2.6062583152424382e-06  4.2182973824045880e-07  -1.0255775454527247e-05  2.1231679166460068e-08  -2.3402830267581677e-06  -2.3300792606465798e-07  1.2025786380260113e-05  -3.0384307734377967e-06
2.3999999999999901e+00  1.0527377465720852e-04  1.2687880498846659e-04  1.2564222245863330e-04  2.6717881687989018e-08  -8.3601215323167867e-05  -1.2135337998540959e-06  -1.2778326290939309e-04  2.1920165687349623e-06  1.0760852309544149e-04  -1.2759834848168682e-04  1.2114803968189331e-05  3.6386972103989739e-06  3.4401647821784352e-06  -1.3926951068170945e-07  -1.0460153239316416e-05  2.0007088189432183e-07  -2.8173410860252368e-06  -1.2131874782558918e-07  1.2273365432261114e-05  -3.5222181987279635e-06
2.7999999999999798e+00  9.7404047344085783e-05  1.2411351812679347e-04  1.2198052254425112e-04  7.4531934157095277e-08  -7.6249004645811941e-05  1.1453484807525477e-09  -1.2428424255428986e-04  2.0575138282122575e-06  9.9861088728399409e-05  -1.2409979712512930e-04  1.0242827451656877e-05  3.5410190320522612e-06  3.2240592011169328e-06  -5.1659350195951859e-07  -8.9464057758345662e-06  -4.1968951059061886e-07  -3.2424216214281057e-06  1.0720671716572801e-06  1.1645218806529042e-05  -3.8706093502453500e-06
3.1999999999999802e+00  9.4294012053399568e-05  1.2350829140281977e-04  1.2076984782819366e-04  4.9473922432625897e-07  -7.2929152300028674e-05  2.1512361382183696e-07  -1.2409752459397827e-04  1.6966142109797749e-06  9.5679279782566665e-05  -1.2331333973316044e-04  1.1297811232915570e-05  2.7373530553010710e-06  2.2878591879690548e-06  1.0588465673778671e-06  -8.3971670248352902e-06  -2.9157626739854264e-07  -2.6255888829428527e-06  2.9020984039485034e-07  1.0423349308967127e-05  -2.9008098247863273e-06
3.5999999999999699e+00  8.9771098226411141e-05  1.2180340519387236e-04  1.1889859114493622e-04  -4.3147302090798457e-08  -6.8540316783003168e-05  1.2204138719255383e-07  -1.2234933362227440e-04  2.3773375938534412e-06  9.2256012061372347e-05  -1.2169554755766717e-04  1.3387557005627800e-05  3.0590963616568278e-06  2.8099386677033242e-06  9.4279936476116987e-07  -1.0359929340947834e-05  3.2325111188659870e-07  -2.4297276780669779e-06  -1.3752386995041520e-06  1.1390772654471536e-05  -2.7965101931232660e-06
